System Time, Nox
2018-03-06 14:28:40.581219,111
2018-03-06 14:29:44.191285,99
2018-03-06 14:27:36.478383,133
2018-03-06 14:35:05.284544,55
2018-03-06 14:32:58.597262,62
2018-03-06 14:41:31.498281,52
2018-03-07 06:14:56.140766,52
2018-03-06 14:26:32.468370,181
2018-03-07 13:09:08.839381,54
2018-03-07 13:10:13.763654,52
2018-03-07 13:12:21.377042,54
2018-03-07 13:13:26.400876,51
2018-03-07 13:31:45.880816,62
2018-03-07 13:38:12.296993,60
2018-03-07 13:43:35.086489,62
2018-03-07 13:44:38.891063,58
2018-03-07 13:54:17.139390,57
2018-03-07 14:02:54.595409,55
2018-03-07 17:54:02.738169,54
2018-03-07 17:55:06.525483,57
2018-03-07 17:56:09.379893,83
2018-03-07 18:00:27.634853,57
2018-03-07 21:20:32.984036,60
2018-03-07 19:10:02.495761,72
2018-03-08 14:05:29.878606,60
2018-03-08 14:46:05.119167,70
2018-03-08 15:17:04.888097,67
2018-03-08 15:30:56.719095,50
2018-03-08 16:23:21.655015,79
2018-03-08 16:32:58.044974,52
2018-03-08 22:37:20.720673,68
2018-03-09 09:55:29.605457,165
2018-03-09 09:51:25.390542,68
2018-03-09 12:32:32.795903,50
2018-03-09 14:35:54.019161,57
2018-03-09 17:26:03.873236,85
2018-03-09 18:30:10.936709,75
2018-03-09 20:25:39.639879,177
2018-03-11 09:45:27.922410,55
2018-03-11 09:47:42.084677,61
2018-03-11 13:07:25.563792,67
2018-03-11 14:01:49.777484,93
2018-03-11 13:59:36.875574,165
2018-03-11 14:52:02.590250,54
2018-03-11 15:32:42.924452,71
2018-03-11 20:40:43.864750,81
2018-03-11 20:41:46.706345,79
2018-03-11 20:46:03.803169,52
2018-03-11 20:48:12.051550,54
2018-03-11 20:45:00.632347,95
2018-03-11 23:44:07.559718,60
2018-03-12 09:08:40.838490,58
2018-03-12 13:52:44.595354,64
2018-03-12 13:53:46.820734,54
2018-03-14 17:26:41.822851,255
2018-03-14 17:36:23.058291,66
2018-03-14 17:38:26.655188,63
2018-03-14 17:45:57.786397,81
2018-03-14 19:49:24.447790,82
2018-03-14 21:12:28.988550,85
2018-03-15 15:49:43.832032,70
2018-03-15 15:50:44.383592,59
2018-03-15 16:00:23.404851,255
2018-03-15 15:58:15.340392,66
2018-03-15 16:06:45.650762,68
2018-03-15 16:09:57.585303,57
2018-03-15 16:08:36.315710,52
2018-03-15 16:23:49.708963,51
2018-03-15 16:17:25.578298,54
2018-03-15 16:29:06.023624,72
2018-03-15 17:34:12.481469,79
2018-03-15 19:05:24.080314,79
2018-03-15 19:42:45.860843,240
2018-03-16 12:36:00.964220,51
2018-03-16 12:52:52.049646,96
2018-03-16 13:54:27.109895,68
2018-03-16 13:57:40.236077,50
2018-03-16 14:14:49.059300,102
2018-03-16 19:45:07.471836,83
2018-03-16 20:00:08.449753,52
2018-03-16 21:02:09.622619,64
2018-03-16 23:01:37.815736,71
2018-03-06 20:50:01.018432,52
2018-03-07 08:02:25.699978,61
2018-03-07 11:47:30.035917,97
2018-03-07 11:53:54.902372,59
2018-03-07 11:56:01.647735,58
2018-03-07 11:57:03.782199,113
2018-03-07 13:26:27.920042,92
2018-03-07 13:31:44.738739,73
2018-03-07 13:41:22.720051,172
2018-03-07 19:08:54.611347,51
2018-03-08 01:54:21.022930,114
2018-03-08 01:55:22.145488,68
2018-03-09 15:36:03.062544,132
2018-03-09 12:34:10.425144,59
2018-03-09 15:58:29.231367,51
2018-03-10 14:57:56.361790,62
2018-03-10 15:17:24.638562,81
2018-03-10 15:23:48.951775,86
2018-03-10 15:24:53.749737,56
2018-03-11 18:34:15.550104,83
2018-03-11 18:36:10.433568,51
2018-03-11 19:54:13.320230,59
2018-03-10 16:24:54.033539,52
2018-03-16 07:08:05.150619,51
2018-03-16 07:04:51.073413,63
2018-03-16 10:49:08.996039,128
2018-03-16 14:48:08.741916,54
2018-03-16 14:47:04.975189,78
2018-03-16 22:59:02.314591,72
2018-03-16 22:59:20.717285,70
2018-03-16 23:00:23.038900,59
2018-03-16 23:01:25.444034,89
2018-03-06 21:00:42.440648,52
2018-03-06 21:15:41.524690,50
2018-03-07 08:34:16.848459,87
2018-03-07 10:26:21.169845,60
2018-03-07 10:31:45.772689,79
2018-03-07 10:30:37.212228,57
2018-03-07 10:25:16.842525,74
2018-03-07 16:06:52.938973,56
2018-03-07 16:12:13.618900,215
2018-03-07 16:19:47.445210,53
2018-03-07 16:33:39.594149,190
2018-03-07 16:39:00.656870,87
2018-03-07 16:56:03.442335,57
2018-03-07 16:54:56.494732,90
2018-03-07 20:09:23.197778,193
2018-03-07 20:40:18.256143,51
2018-03-07 23:41:44.932353,76
2018-03-08 09:28:24.535069,54
2018-03-09 01:02:01.736935,54
2018-03-09 09:36:51.254228,86
2018-03-10 10:34:23.892024,161
2018-03-10 10:42:54.736387,58
2018-03-11 13:34:37.863638,71
2018-03-11 13:40:02.394536,71
2018-03-12 07:50:31.867799,60
2018-03-12 07:54:46.300205,74
2018-03-12 10:15:09.497312,58
2018-03-12 10:23:45.145822,135
2018-03-12 10:29:05.261475,88
2018-03-12 10:32:17.184782,98
2018-03-12 16:35:45.568877,57
2018-03-12 16:37:30.492661,74
2018-03-12 16:42:50.342646,73
2018-03-12 16:50:23.463886,255
2018-03-12 16:51:22.232500,99
2018-03-12 16:55:41.185235,84
2018-03-12 17:58:41.328436,56
2018-03-12 18:11:34.766364,103
2018-03-12 18:15:52.369596,52
2018-03-12 18:16:57.182751,99
2018-03-12 18:13:44.403235,94
2018-03-12 18:20:13.792327,102
2018-03-13 18:34:20.485132,64
2018-03-13 18:49:20.358299,76
2018-03-13 18:50:23.397700,51
2018-03-14 10:59:22.248577,87
2018-03-14 11:02:37.456337,68
2018-03-14 13:45:37.560781,117
2018-03-14 15:43:10.675955,119
2018-03-14 16:20:30.429457,80
2018-03-14 16:09:47.698007,75
2018-03-15 07:55:50.764358,59
2018-03-15 08:01:13.044061,66
2018-03-15 08:08:39.304938,51
2018-03-15 11:44:59.684214,89
2018-03-15 12:01:47.750468,57
2018-03-15 12:11:33.258468,61
2018-03-15 12:27:37.020302,62
2018-03-15 12:28:42.201019,53
2018-03-15 12:27:15.789628,111
2018-03-15 12:42:37.083360,65
2018-03-15 12:50:06.614767,109
2018-03-15 12:59:46.834426,87
2018-03-15 12:51:07.634105,56
2018-03-15 13:04:04.135494,62
2018-03-15 13:09:37.651478,93
2018-03-15 13:18:00.196073,92
2018-03-15 13:15:19.771448,118
2018-03-15 13:15:54.066275,83
2018-03-07 10:47:39.205244,125
2018-03-07 10:48:43.225262,117
2018-03-07 10:50:52.190993,99
2018-03-07 10:46:33.547712,142
2018-03-07 10:45:30.679793,166
2018-03-07 10:52:57.259837,86
2018-03-07 10:54:05.026841,83
2018-03-07 10:55:09.513588,79
2018-03-07 10:58:18.168155,74
2018-03-07 11:04:46.354956,62
2018-03-07 11:01:33.737607,66
2018-03-07 11:55:54.184540,60
2018-03-07 16:14:14.101620,90
2018-03-08 09:38:39.218536,55
2018-03-08 09:45:01.148825,86
2018-03-08 10:39:32.794556,240
2018-03-08 10:51:19.085036,58
2018-03-09 12:30:01.281491,61
2018-03-09 12:34:07.592020,100
2018-03-09 12:47:58.894985,50
2018-03-09 12:51:12.946867,68
2018-03-09 16:14:02.387265,57
2018-03-09 16:11:52.154555,61
2018-03-09 16:22:34.364271,101
2018-03-09 16:19:21.582427,87
2018-03-09 14:06:36.943999,72
2018-03-09 16:32:11.420854,50
2018-03-09 22:12:00.607442,81
2018-03-09 22:12:13.005097,74
2018-03-09 22:18:39.222324,64
2018-03-09 22:22:55.945802,62
2018-03-09 22:23:59.111706,57
2018-03-09 22:25:02.620061,51
2018-03-09 22:31:29.256387,58
2018-03-09 22:33:39.062595,54
2018-03-09 22:34:40.863352,52
